PROGRAM,CGPA_AKHIR,POSTKOD,BANGSA,CACAT,JANTINA,AGAMA,TANGGUNGAN,GAJI,CGPA_MASUK,STATUS_GRAD,HEA_STATUS
BM229,2.47,71009,100,N,P,I,8,3,2.67,GAGAL,LU
BM230,2.62,71000,100,N,P,I,2,1,2.75,LULUS,TM
OM224,3.2,71000,100,N,L,I,2,2,2.75,LULUS,TM
MC224,2.95,71000,100,N,P,I,3,3,2.25,LULUS,TM
HM221,2.74,71000,100,N,P,I,6,4,2.59,LULUS,TM
HM221,3.18,71000,100,N,P,I,6,5,3.25,LULUS,TM
BM220,3.57,71000,100,N,P,I,7,5,3.8,LULUS,TM
IM222,3.41,70450,100,N,P,I,1,2,2.83,LULUS,TS
IM222,3.53,70450,100,N,L,I,2,5,2.83,LULUS,TS
BM220,2.58,70450,100,N,L,I,2,4,2.58,LULUS,TM
OM224,2.85,70450,100,N,P,I,3,2,2.67,LULUS,TM
BM226,3.32,70450,100,N,P,I,4,3,3.17,LULUS,TM
LG221,2.9,70450,100,N,P,I,4,4,2.42,LULUS,TS
CT225,3.39,70450,100,N,L,I,5,5,2,LULUS,TM
HM221,3.13,70450,100,N,P,I,5,3,2.58,LULUS,TM
OM221,2.66,70450,100,N,P,I,6,4,2.25,LULUS,TM
BM223,3.13,70450,100,N,P,I,6,5,3.9,LULUS,TM
BM230,2.73,70450,100,N,L,I,8,2,2.84,LULUS,TM
BM221,2.92,70450,100,N,L,I,9,5,2.92,LULUS,TM
HM220,3.43,70400,100,N,P,I,2,3,2.92,LULUS,TS
MC227,2.01,70400,100,N,L,I,3,4,2.34,GAGAL,LU
SR221,3.07,70400,100,N,P,I,3,3,2.75,LULUS,TS
AM228,2.85,70400,100,N,P,I,3,3,3.17,LULUS,TM
MC224,2.72,70400,100,N,L,I,4,4,2.67,LULUS,TM
MC223,3.33,70400,100,N,L,I,4,2,2.92,LULUS,TM
BM224,3.13,70400,100,N,P,I,4,4,2.83,LULUS,TM
BM220,3.07,70400,100,N,P,I,4,2,2.5,LULUS,TM
MC222,3.45,70400,100,N,P,I,4,3,2.42,LULUS,TS
BM224,2.91,70400,100,N,P,I,5,6,2.42,LULUS,TM
AM228,3.14,70400,100,N,P,I,5,6,3.17,LULUS,TS
