PROGRAM,CGPA_AKHIR,POSTKOD,BANGSA,CACAT,JANTINA,AGAMA,TANGGUNGAN,GAJI,CGPA_MASUK,STATUS_GRAD,HEA_STATUS
AP230,2.66,47000,100,N,P,I,7,4,2.42,LULUS,TM
BM220,3.25,47000,100,N,L,I,8,2,3.25,LULUS,TM
IM222,3.18,47000,100,N,P,I,9,8,3,LULUS,TM
BM223,3.1,46400,100,N,P,I,1,6,3.08,LULUS,TM
IM225,3.36,46300,100,N,P,I,4,3,2.84,LULUS,TS
BM223,3.28,46150,100,N,P,I,6,2,3.33,LULUS,TM
BM220,2.69,46000,100,N,P,I,2,2,2.33,LULUS,TM
BM230,3.08,46000,100,N,P,I,2,4,3.17,LULUS,TM
AD227,2.9,46000,100,N,P,I,3,1,2.42,LULUS,TM
BM229,0,46000,100,N,L,I,3,4,2.5,GAGAL,D1
MC222,3.49,46000,100,N,P,I,4,2,3.58,LULUS,TM
